date,open,high,low,close,volume,currency
2019-07-25,302.63,311.76,294.77,302.03,51568262.12,Bitcoin Cash
2019-07-26,302.5,324.18,299.56,318.07,115785990.18,Bitcoin Cash
2019-07-27,317.73,324.98,298.47,305.64,53008785.9,Bitcoin Cash
2019-07-28,305.64,312.61,290.3,309.82,45261175.71,Bitcoin Cash
2019-07-29,310.16,310.21,304.03,305.65,82437267.47,Bitcoin Cash
2019-07-30,305.65,322.99,306.67,318.57,101470516.21,Bitcoin Cash
2019-07-31,318.57,349.39,325.78,329.01,122104145.24,Bitcoin Cash
2019-08-01,329.01,339.46,325.83,329.99,117565461.51,Bitcoin Cash
2019-08-02,329.99,335.66,322.19,327.98,119997757.88,Bitcoin Cash
2019-08-03,327.98,354.15,329.16,335.65,114671231.87,Bitcoin Cash
2019-08-04,335.65,344.74,335.41,336.5,103674370.73,Bitcoin Cash
2019-08-05,336.5,362.03,344.56,347.39,147317480.55,Bitcoin Cash
2019-08-06,347.39,339.77,328.65,335.64,122210050.93,Bitcoin Cash
2019-08-07,335.64,351.33,338.27,338.63,121950346.42,Bitcoin Cash
2019-08-08,338.63,341.39,332.64,333.12,114135014.31,Bitcoin Cash
2019-08-09,333.12,332.11,311.46,314.78,125998732.42,Bitcoin Cash
2019-08-10,314.78,318.14,299.28,315.43,93586355.77,Bitcoin Cash
2019-08-11,315.43,347.97,322.57,338.39,102247743.1,Bitcoin Cash
2019-08-12,338.39,338.09,329.55,329.89,123539489.85,Bitcoin Cash
2019-08-13,329.89,350.95,313.11,346.93,125611222.42,Bitcoin Cash
2019-08-14,346.93,339.08,303.16,311.09,138097092.1,Bitcoin Cash
2019-08-15,311.1,322.46,268.41,314.39,76081465.63,Bitcoin Cash
2019-08-16,314.41,322.21,306.88,309.57,103940275.5,Bitcoin Cash
2019-08-17,309.57,309.79,303.15,306.83,79974665.51,Bitcoin Cash
2019-08-18,306.83,321.46,308.86,317.43,103041781.01,Bitcoin Cash
2019-08-19,317.43,336.18,325.26,325.26,87176476.65,Bitcoin Cash
2019-08-20,325.26,321.94,313.64,315.91,78558577.73,Bitcoin Cash
2019-08-21,315.36,316.28,289.11,303.64,42504215.29,Bitcoin Cash
2019-08-22,304.46,312.42,300.6,312.01,74119580.31,Bitcoin Cash
2019-08-23,312.01,321.58,310.96,316.37,77604910.77,Bitcoin Cash
2019-08-24,316.37,310.19,305.31,306.23,80119288.59,Bitcoin Cash
2019-08-25,306.23,310.54,304.86,305.77,75122088.23,Bitcoin Cash
2019-08-26,305.77,314.89,305.56,310.95,94824961.86,Bitcoin Cash
2019-08-27,310.95,312.79,302.01,308.21,85329657.99,Bitcoin Cash
2019-08-28,308.21,295.77,283.23,291.88,74148535.56,Bitcoin Cash
